wid,exam,Type,Artikel,Word,Konjugation,Prateritum,Perfekt,Regelmäßige,Plural,Komparativ,Superlativ,Meaning,Sample_Sentence
207,0,Noun,die,Rücksicht,-,-,-,-,Rücksichten,-,-,"consideration, regard",Man sollte immer Rücksicht auf seine Mitmenschen nehmen.
208,0,Verb,-,bewältigen,bewältigt,bewältigte,hat bewältigt,1,-,-,-,cope,"Man muss lernen, Stress zu bewältigen."
209,0,,,deshalb/darum/deswegen,,,,,,,,,
210,0,Noun,die,Geschwindigkeit,-,-,-,-,Geschwindigkeiten,-,-,speed,Die Geschwindigkeit dieses Autos ist beeindruckend.
211,0,Noun,der,Lärm,-,-,-,-,-,-,-,noise,Ich kann mich bei so viel Lärm nicht konzentrieren.
212,0,Noun,der,Stadtteil,-,-,-,-,Stadtteile,-,-,district,Ich wohne in einem multikulturellen Stadtteil.
213,0,Noun,der,Dreck,-,-,-,-,-,-,-,dirt,"Mach den Dreck bitte weg, bevor Gäste kommen!"
214,0,Noun,der,Laden,-,-,-,-,Läden,-,-,store,Seit dem Lockdown ist der Laden geschlossen.
215,0,Noun,die,Schicht,-,-,-,-,Schichten,-,-,1- layer 2 - shift,"Ich arbeite heute in der Nachtschicht.
Die Erde hat mehrere Schichten aus Gestein und Wasser."
216,0,Adjective,-,sparsam,-,-,-,-,-,sparsamer,am sparsamsten,economical,Er ist sehr sparsam und gibt nicht viel Geld aus.
217,0,Verb,-,auslösen,löst aus,löste aus,hat ausgelöst,1,-,-,-,trigger,Wie wurde das ausgelöst. 
218,0,Verb,-,zwingen,zwingt,zwang,hat gezwungen,0,-,-,-,force,"Sie zwingen mich, das zu tun."
219,0,Adjective,-,ausreichend,-,-,-,-,-,ausreichender,am ausreichendsten,sufficient,Wir haben ausreichend Zeit.
220,0,Noun,die,Sicherheit,-,-,-,-,Sicherheiten,-,-,safety,"Sie sorgt sich um deine ""Sicherheit"" "
221,0,Noun,die,Erziehung,-,-,-,-,-,-,-,education,"""Erziehung"" beginnt zu Hause."
222,0,Verb,-,überweisen,überweist,überwies,hat überwiesen,-,-,-,-,transfer,"Hast du das Geld ""überwiesen"" ?"
223,0,Verb,-,abheben,hebt ab,hob ab,hat abgehoben,0,-,-,-,"- to take off
- to withdraw money
- To stand out / be different
- (Colloquial) To become arrogant / lose touch with reality","- Das Flugzeug hebt ab.
- Ich habe 100 Euro vom Bankautomaten abgehoben.
- Sein Stil hebt sich von den anderen ab.
- Seit dem Erfolg hebt er total ab."
224,0,Verb,-,sparen,spart,sparte,hat gespart,1,-,-,-,save,"Wofür ""sparst"" du?"
